time,parent,analyte,matrix,conc,replicate,microMexp
90,Fipronil,Fipronil,microsomes,0.73593197,1,2.89
90,Fipronil,Fipronil,microsomes,1.01143428,2,2.89
90,Fipronil,Fipronil,microsomes,2.098949857,3,2.89
0,Fipronil,Fipronil,microsomes,285.0383486,1,50
0,Fipronil,Fipronil,microsomes,295.6872209,2,50
0,Fipronil,Fipronil,microsomes,261.2375276,3,50
15,Fipronil,Fipronil,microsomes,223.3849191,1,50
15,Fipronil,Fipronil,microsomes,19.09530124,2,50
15,Fipronil,Fipronil,microsomes,61.85004879,3,50
30,Fipronil,Fipronil,microsomes,76.72890033,1,50
30,Fipronil,Fipronil,microsomes,65.4447593,2,50
30,Fipronil,Fipronil,microsomes,59.88633813,3,50
60,Fipronil,Fipronil,microsomes,74.09066447,1,50
60,Fipronil,Fipronil,microsomes,65.54242812,2,50
60,Fipronil,Fipronil,microsomes,39.55208359,3,50
90,Fipronil,Fipronil,microsomes,66.15498564,1,50
90,Fipronil,Fipronil,microsomes,23.55175796,2,50
90,Fipronil,Fipronil,microsomes,58.25965938,3,50
0,Fipronil,Fipronil,microsomes,49.56034014,1,75
0,Fipronil,Fipronil,microsomes,49.17468426,2,75
0,Fipronil,Fipronil,microsomes,36.68866915,3,75
15,Fipronil,Fipronil,microsomes,35.05455395,1,75
15,Fipronil,Fipronil,microsomes,40.30349338,2,75
15,Fipronil,Fipronil,microsomes,44.1381674,3,75
30,Fipronil,Fipronil,microsomes,38.08049817,1,75
30,Fipronil,Fipronil,microsomes,38.34527612,2,75
30,Fipronil,Fipronil,microsomes,89.31881211,3,75
60,Fipronil,Fipronil,microsomes,40.27279664,2,75
60,Fipronil,Fipronil,microsomes,55.95173867,3,75
90,Fipronil,Fipronil,microsomes,37.82415225,1,75
90,Fipronil,Fipronil,microsomes,32.32010713,2,75
90,Fipronil,Fipronil,microsomes,45.93427684,3,75
0,Fipronil,Fipronil,microsomes,32.55124669,1,100
0,Fipronil,Fipronil,microsomes,72.28565415,2,100
0,Fipronil,Fipronil,microsomes,50.30200713,3,100
15,Fipronil,Fipronil,microsomes,65.75118371,1,100
15,Fipronil,Fipronil,microsomes,61.03836189,2,100
15,Fipronil,Fipronil,microsomes,86.42270417,3,100
30,Fipronil,Fipronil,microsomes,18.77293974,1,100
30,Fipronil,Fipronil,microsomes,84.04356305,2,100
30,Fipronil,Fipronil,microsomes,89.30314297,3,100
60,Fipronil,Fipronil,microsomes,60.95565287,1,100
60,Fipronil,Fipronil,microsomes,89.79580177,2,100
60,Fipronil,Fipronil,microsomes,90.59062961,3,100
90,Fipronil,Fipronil,microsomes,56.03613412,1,100
90,Fipronil,Fipronil,microsomes,94.58659729,2,100
